From,To,Prob
"(0, 0, 0)","(0, 0, 0)",0.0
"(4, 0, 0)","(4, 0, 0)",0.3932790557827152
"(0, 0, 0)","(4, 0, 0)",0.0
"(4, 0, 0)","(0, 0, 0)",0.0
"(0, 0, 0)","(1, 0, 0)",0.0
"(1, 0, 0)","(0, 0, 0)",0.0
"(4, 0, 0)","(1, 0, 0)",6.342816821714624e-05
"(1, 0, 0)","(4, 0, 0)",6.342816821714624e-05
"(0, 0, 0)","(2, 0, 0)",0.0
"(2, 0, 0)","(0, 0, 0)",0.0
"(4, 0, 0)","(2, 0, 0)",6.342816821714624e-05
"(2, 0, 0)","(4, 0, 0)",6.342816821714624e-05
"(0, 0, 0)","(3, 0, 0)",0.0
"(3, 0, 0)","(0, 0, 0)",0.0
"(4, 0, 0)","(3, 0, 0)",6.342816821714624e-05
"(3, 0, 0)","(4, 0, 0)",6.342816821714624e-05
"(1, 0, 0)","(1, 0, 0)",0.20193482976181462
"(1, 0, 0)","(2, 0, 0)",9.14179066453401e-05
"(1, 0, 0)","(3, 0, 0)",8.721073420070985e-05
"(2, 0, 0)","(1, 0, 0)",9.14179066453401e-05
"(2, 0, 0)","(2, 0, 0)",0.20193482976181462
"(2, 0, 0)","(3, 0, 0)",8.721073420070983e-05
"(3, 0, 0)","(1, 0, 0)",8.721073420070983e-05
"(3, 0, 0)","(2, 0, 0)",8.721073420070983e-05
"(3, 0, 0)","(3, 0, 0)",0.20193903693425927
